TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
8.846802721,-344.6,73.2557,27.3507,-11.2593,-3.56339,3.76026,1.13011,-1.38961,2.88986,9.62326,7.71589,0.249153,1.62786,3.66868,-2.46347,-5.30216,-0.231224,3.31754,4.5471,4.21557,2.90251
8.870022676,-348.629,72.1394,28.5824,-8.63542,-3.20075,1.66214,1.20079,-5.71049,3.44467,10.6728,5.4417,1.04205,0.858028,-0.0727507,-3.11184,-3.45143,-0.934494,2.61993,4.03567,4.0797,3.73856
8.893242630,-341.292,75.0556,26.7782,-12.8467,-2.71019,3.48619,-1.49867,-4.50062,2.88994,9.53824,6.12652,0.899284,0.775465,2.0212,-2.24619,-6.32403,-1.38073,3.60155,6.72339,5.56427,3.61249
8.916462585,-347.622,73.4236,30.8567,-7.22338,-4.18157,-0.179203,-0.370938,-3.19342,3.46376,10.7608,6.07349,-0.0622297,-0.843394,1.41746,-1.79631,-5.67225,-0.299052,4.60749,6.7911,5.80151,3.20139
8.939682540,-348.485,71.5427,27.7063,-10.7971,-4.97427,1.96763,1.2901,-0.659282,3.32658,9.8229,5.95424,-0.439274,0.702489,2.34565,-3.12885,-6.28691,-0.751671,5.73849,6.52493,3.59539,1.95233
8.962902494,-351.765,70.6416,29.2794,-7.09586,-3.16076,-0.423141,0.292875,-1.03557,2.84304,9.15621,6.6573,0.925804,-2.96808,-0.582497,-2.13659,-5.40268,-3.28993,3.63053,5.54737,4.37996,3.88446
8.986122449,-351.524,71.8587,31.5655,-6.42486,-4.70212,-0.162066,0.817648,-1.28295,1.76679,9.34186,7.28039,-1.90396,-2.52195,-0.12344,-1.8064,-4.95741,-3.23451,2.90854,5.64895,6.499,3.16403
9.009342404,-350.082,70.8269,30.3655,-7.76452,-6.7767,-1.45946,0.195491,-0.155392,3.79699,5.43186,4.02195,0.565907,0.0772637,0.429902,-3.65113,-3.85686,-1.32002,3.99621,6.48366,4.82608,5.94021
9.032562358,-346.976,72.9263,31.7633,-5.14449,-3.55421,-2.62569,-1.84997,-2.14361,-0.0179401,2.52255,2.68815,1.85733,2.68291,2.63689,0.202162,-2.757,-3.16236,-0.416288,3.99881,5.81511,3.96526
9.055782313,-340.943,74.9351,22.7356,-9.49412,-0.0957223,-0.718799,-3.62154,1.6545,13.4091,9.17414,-1.63905,-3.58881,-0.118911,0.206944,-0.136405,3.57415,7.49863,1.71345,-4.17494,-6.12076,-0.0148624
9.079002268,-344.187,73.0454,23.624,-8.78058,-1.11852,-1.47387,-3.30893,3.04381,12.0278,7.60731,-1.21137,-2.45736,0.462925,-2.50172,-1.72435,4.94634,9.14006,1.73788,-3.63585,-4.05544,-1.46872
9.102222222,-333.223,76.9756,20.0944,-14.7286,-1.34503,0.600123,-6.74027,-0.013739,10.7405,7.9362,-3.15698,-5.56908,-1.16347,-2.30615,-1.3463,5.67221,8.67998,4.02634,-2.76161,-4.13523,-1.04449
9.125442177,-335.748,75.1651,20.436,-11.838,1.38005,-1.05219,-7.01751,1.83329,11.9382,9.00577,-1.63477,-1.96325,-3.49304,-2.72043,-1.2327,7.00588,10.8203,4.29744,-3.3043,-4.08922,-2.21413
