TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
3.157913832,0.192683,0.6192,1.09369,0.172851,0.775507,0.394243,0.0539796,1.61159,0.323036,0.348962,0.114698,0.545695
3.204353741,0.112739,0.491423,1.44774,0.417439,0.644827,0.130957,0.0551522,1.21088,0.700408,0.437665,0.109001,0.497206
3.250793651,0.206544,0.106317,1.39133,0.462942,0.593795,0.0779009,0.303096,1.0094,0.883749,0.587628,0.0867434,0.144464
3.297233560,0.191805,0.176047,1.29365,0.726687,0.555116,0.22813,0.419403,0.816,0.751959,0.77401,0.00308253,0.084107
3.343673469,0.230477,0.157411,1.02946,0.392977,0.806389,0.217351,0.55144,1.04135,0.636316,0.377782,0.000403522,0.089677
3.390113379,0.81775,0.307849,0.927592,0.772773,1.81648,0.436213,0.566951,1.06331,0.378543,0.155906,0.0871082,0.29652
3.436553288,0.456271,0.325017,0.602348,0.219027,2.19173,0.452872,0.59398,1.28998,0.505031,0.657036,0.675702,0.452948
3.482993197,0.129462,1.77435,0.213608,0.0132445,1.46334,0.528424,0.408262,0.592593,0.560722,1.02122,0.640243,1.03452
3.529433107,0.0609195,2.08739,0.206247,0.0125469,0.380192,0.560452,0.326594,0.56322,0.723805,1.05083,0.687969,1.37526
3.575873016,0.0198667,2.08269,0.114433,0.00696614,0.31732,0.587179,0.309633,0.630576,0.765039,1.224,0.86092,1.39796
3.622312925,0.00382916,1.98505,0.824088,0.313068,0.0387854,0.568458,0.770782,0.50961,1.19855,0.53516,0.356749,1.30078
3.668752834,0,1.17123,1.96381,0.62947,0.192253,0.689586,0.269944,0.446939,0.973079,0.855078,0,0.301064
3.715192744,0.0101096,0.761574,2.1327,0.587707,0.216078,0.490683,0.202567,0.293435,0.989617,1.15492,0.009724,0
3.761632653,0.174907,0.803846,2.1231,0.471136,0.204843,0.352541,0.141589,0.398573,1.00594,1.08704,0.00564547,0
3.808072562,0.610742,0.210986,2.13402,0.838367,0.0277774,0.118548,0.197301,0.47451,1.02874,0.562958,0,0.327139
3.854512472,0.807351,0.105624,2.11018,1.11001,0.070574,0.102242,0.465033,0.781769,0.428991,0.19797,0.358639,0.72751
3.900952381,1.10816,0.121111,1.44998,1.37977,0.404539,0.250603,0.382243,0.709767,0.114454,0.2898,0.310335,1.21275
3.947392290,0.796764,0.179531,1.24327,1.19123,0.652037,0.552676,0.371116,0.574291,0.224198,0.510732,0.44944,1.16094
3.993832200,0.651715,0.282088,0.891936,1.08769,0.808582,0.598574,0.482348,0.751943,0.128006,0.536283,0.468639,1.14334
4.040272109,0.443286,0.303721,0.383477,1.02125,0.785531,0.555096,0.486841,0.863079,0.0986531,0.71548,0.428461,1.1711
4.086712018,0.755815,0.419384,0.198181,1.03023,0.714498,0.076496,1.67618,0.444899,0.150114,0.47923,0.467529,0.819566
4.133151927,1.3481,0.204007,0.404439,0.954894,1.20264,0.36274,1.73169,0.187209,0.489773,0.780882,0.804245,0.829949
4.179591837,1.08658,0.0224553,0.342888,0.609373,1.3635,0.232225,1.58672,0.40948,0.857531,0.772115,0.871998,0.952902
4.226031746,0.958184,0.000189062,0.255895,0.256381,1.17871,0.108755,1.27435,0.709919,0.824372,1.09066,0.919185,0.947141
4.272471655,0.331245,0.403103,0.205827,0.0339608,0.511539,0.0459107,1.34794,0.68171,0.607147,1.05732,1.14065,1.1143
4.318911565,0.256256,0.647387,0.242317,0.0308513,0.317315,0.110596,1.02129,0.739201,0.676735,0.874068,1.31492,1.15111
4.365351474,0.28054,0.802169,0.544583,0.169917,0.359612,0.145852,0.787702,0.623238,0.60193,0.48265,1.33535,1.03511
4.411791383,0.277426,0.531445,0.144099,0.770478,0.677176,0.00354559,0.515151,0.515697,0.187689,0.589621,1.47074,1.47423
4.458231293,0.0159048,0.29386,0.294288,0.923275,1.27702,0.659673,0.0150799,0.0687709,0.304687,0.642736,1.17749,0.946328
4.504671202,0.0116309,0.381737,0.32791,0.806281,1.02982,1.01375,0.00288328,0.0855113,0.818734,0.376345,0.427893,0.982737
4.551111111,0.00503664,0.359554,0.554478,0.567944,1.00959,1.03837,0,0.0374427,1.22376,0.385078,0.274214,1.01342
4.597551020,0.36492,0.294046,0.667548,0.415128,1.07531,1.05807,0,0.569197,0.975951,0.393055,0.304934,0.784574
4.643990930,0.36342,0.324885,1.60487,0.306939,0.551137,0.572285,0.00906904,0.965868,0.913896,0.191525,0.289482,0.53955
4.690430839,0.0339196,0.354036,1.72033,0.43841,0.578515,0.610883,0.0827519,1.28026,0.662848,0.0343469,0.289306,0.174381
4.736870748,0.17766,0.2764,2.09755,0.285154,0.663483,0.511636,0.068988,1.29399,0.473446,0.0637945,0.331897,0.115387
4.783310658,0.308127,0.207107,2.19464,0.312771,0.699864,0.00253853,0.217905,1.11888,0.316637,0.25158,0.376597,0.0885569
4.829750567,0.272517,0.177734,1.97477,0.38031,0.759492,0.00591973,0.288469,0.817424,0.313574,0.429166,0.385243,0.0707212
4.876190476,0.586885,0.161512,1.76425,0.359492,0.839766,0.061969,0.255172,0.685247,0.417504,0.505687,0.301596,0.149965
4.922630385,1.23647,0.15329,1.37805,0.149479,1.01867,0.178557,0.382753,1.10879,0.211981,0.388522,0.110315,0.18397
4.969070295,1.72573,0.364427,0.808525,0.340372,1.88084,0.354939,0.325278,1.01011,0.131869,0.0529939,0.0496958,0.299163
5.015510204,1.5574,0.168582,0.604952,0.360659,2.11244,0.414051,0.346031,0.686958,0.388165,0.114991,0.286589,0.454511
5.061950113,1.76149,0,0.0614967,0.205544,1.08675,0.236827,0.521998,0.713268,0.599268,0.804472,0.248305,0.747452
5.108390023,1.71144,0,0.0697616,0.269775,0.494068,0.264348,0.620611,0.400646,0.767283,1.03764,0.350101,0.970824
5.154829932,1.44027,0.051648,0.122651,0.384963,0.462913,0.248019,0.610936,0.415594,0.897369,1.22016,0.457084,0.868588
5.201269841,0.640076,0.3324,0.577665,0.665555,1.84654,0.263171,0.435715,0.39725,0.291372,0.125317,0.786983,0.169357
5.247709751,0.0488477,0.345951,1.33005,0.69436,2.07233,0.606549,0.269893,0.265239,0.0371328,0.578279,0.736494,0.0897237
5.294149660,0.0196775,0.350945,1.4782,0.655239,1.91036,0.60191,0.321724,0.247057,0.0841651,0.619461,0.648659,0.0340502
5.340589569,3.96231e-05,0.219375,1.73741,0.396439,1.77892,0.590449,0.395987,0.206738,0.202348,0.552888,0.598267,0.0401167
5.387029478,0.645463,0.188974,1.63759,0.393427,1.62916,0.467775,0.43593,0.27283,0.447566,0.482463,0.443485,0.125453
5.433469388,0.684407,0.11137,1.66481,0.342872,1.06241,0.23668,0.417832,0.727807,0.634517,0.146363,0.638954,0.351375
5.479909297,1.16744,0.780682,0.838455,0.0785953,0.234111,0.314514,0.240525,0.428529,0.124292,0.758276,0.94242,0.36825
5.526349206,1.25054,0.751942,0.745044,0.0114927,0.304945,0.358269,0.220281,0.408299,0.156406,1.15454,1.07496,0.444792
5.572789116,1.35105,0.117353,1.15562,0.107209,0.881742,0.314935,0.342055,0.767302,0.448913,0.174474,0.65599,0.279362
5.619229025,0.986928,0.168613,1.04195,0.00824551,1.15288,0.242602,0.229312,0.990152,0.449985,0.12039,0.516234,0.256825
5.665668934,0.588589,0.131335,1.50561,0.286124,1.263,0.473209,0.374063,0.562097,0.591094,0.0261343,0.683646,0
5.712108844,0.57252,0.17163,1.43707,0.357361,1.16224,0.0407753,0.602556,0.369274,0.552473,0.69741,0.354668,0
5.758548753,0.71972,0.0891119,1.48527,0.352999,1.27162,0.030168,0.661632,0.27553,0.656959,0.729901,0.284062,0.113564
5.804988662,0.523758,0.116715,1.41141,0.069424,1.06615,0.453193,0.606134,0.585826,0.564028,0.624637,0.213904,0.182016
5.851428571,0.201545,0.339822,1.22232,0.187397,1.34138,0.442817,0.577395,0.95112,0.323934,0.32556,0.374716,0.16876
5.897868481,0.185851,0.437046,1.25475,0.194234,1.4327,0.42,0.624212,1.21788,0.346016,0.0164485,0.577073,0.177231
5.944308390,0.204271,0.304474,1.40849,0.18753,1.41499,0.39132,0.589356,1.11815,0.111484,0.000335517,0.94817,0.362658
5.990748299,0.325764,0.485869,1.19924,0.196483,1.33,0.0904033,0.366555,0.991514,0.118744,0.233358,0.880661,0.683799
6.037188209,0.803889,0.454599,0.487551,0.104645,1.82671,0.0961064,0.0676464,0.871201,0.392477,0.241385,0.293278,0.699902
6.083628118,0.667022,0.377553,0.407924,0.0251588,1.43003,0.0764604,0.0467322,0.106647,0.986261,0.194222,0.607704,0.919516
6.130068027,0.623018,0.368993,0.407381,0.147469,1.3884,0.214294,0.0166482,0.106852,1.37083,0.198437,0.400878,0.786364
6.176507937,0.905152,0.465846,0.429209,0.0941774,1.17229,0.1332,0.0733601,0.549124,1.37619,0.203962,0.289799,0.737675
6.222947846,0.155087,0.917986,1.09819,0.125596,1.01801,0.0991769,0.178723,1.28804,0.624861,0.209141,0.190113,0.711712
6.269387755,0.230801,0.596431,1.74743,0.040415,0.793243,0.129351,0.168116,1.30482,0.398104,0.118467,0.207722,0.55279
6.315827664,0.318658,0.122832,2.2039,0,0.372316,0.115515,0.218422,1.28417,0.358624,0.271445,0.950394,0.212078
6.362267574,0.407756,0.175857,2.1709,0.0203761,0.440699,0.134721,0.112333,1.1548,0.557931,0.461662,0.793084,0.124693
6.408707483,0.215276,0.294956,2.02909,0.0281341,0.607993,0.159768,0.107428,1.00572,0.563774,0.633106,0.424999,0.137799
6.455147392,0.49835,0.456342,1.94349,0.0425897,0.794048,0.139795,0.0823503,0.871949,0.479407,0.546376,0.128013,0.126355
6.501587302,1.28374,0.270388,1.34715,0.425329,1.2632,0.135261,0.231818,1.34856,0.102525,0.2507,0.125152,0.14722
6.548027211,1.57104,0.0406708,0.647773,0.675022,2.01358,0.279061,0.329372,1.46001,0.286391,0,0.062043,0.433538
6.594467120,1.5084,0.13512,0.506422,0.511701,2.14216,0.380568,0.221169,1.05028,0.506819,0.350964,0.316681,0.538326
6.640907029,1.18622,0.544486,0.144161,0.708867,0.707605,0.478842,0.152783,1.01467,0.603205,1.15354,0.505758,0.412874
6.687346939,0.942009,0.749003,0.130547,0.841917,0.267274,0.500856,0.129978,1.02347,0.682635,1.42187,0.839261,0.478283
6.733786848,0.992082,0.77139,0,1.29453,0.164785,0.408702,0.1504,1.19861,1.2753,1.07344,0.536815,0.298542
6.780226757,0.383968,0.67758,1.25302,0.919956,0.216596,0.0840918,0.0176133,1.59508,0.954778,0.609627,0.222172,0.200416
6.826666667,0.38066,0.0804399,1.53249,1.13955,0.573534,0.174364,0.0102777,0.966887,0.897804,0.540848,0.454379,0.262523
6.873106576,0.366814,0.0985771,1.50177,1.27084,0.478881,0.243738,0.0607079,0.81111,0.770989,0.664105,0.302107,0.1735
6.919546485,0.483738,0.00344086,1.71645,1.21566,0.392833,0.217496,0.0481145,0.637906,0.806022,0.453688,0.170779,0.225848
6.965986395,0.582075,0.737089,1.67431,0.940262,0.13818,0.0510907,0.0789784,0.896314,0.699892,0.378885,0.285655,0.349119
7.012426304,0.910115,0.764039,1.74192,0.868946,0.207631,0.182775,0.130657,0.828834,0.598383,0.133354,0.36846,0.643472
