Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4loQgPwJHocL3dFwLfjb1J,"Reloj","Afrodisíaco","Rauw Alejandro;Anuel AA",2020-11-13,231594,71,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:58:31Z,"reggaetón,trap latino,urbano latino,latina","Sony Music Latin/Duars Entertainment",0.823,0.537,8,-2.627,1,0.211,0.176,0.00000375,0.124,0.608,175.965,4
spotify:track:4SJHHpKhcuXwDsCsPqshXj,"El Efecto","El Efecto","Rauw Alejandro;Chencho Corleone",2019-03-15,217142,82,false,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:58:35Z,"reggaetón,trap latino,urbano latino,latina","Duars Entertainment, Corp.",0.849,0.781,0,-4.635,0,0.159,0.406,0,0.0801,0.893,84.041,4
spotify:track:2BEcap3xJtmiPaHKyfQi4e,"Nostálgico","Nostálgico","Rvssian;Rauw Alejandro;Chris Brown",2021-09-08,209883,76,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:58:40Z,"trap latino,reggaetón,urbano latino,latina,r&b","Sony Music Latin",0.734,0.846,9,-3.425,0,0.0489,0.166,0.00000174,0.235,0.604,98.026,4
spotify:track:6WfxIJKmYRSpsBJv0tEAKX,"MUSEO","TRAP CAKE VOL. 2","Rauw Alejandro",2022-02-25,255412,69,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:58:43Z,"reggaetón,trap latino,urbano latino,latina","Sony Music Latin/Duars Entertainment",0.793,0.449,0,-7.212,1,0.047,0.763,0,0.165,0.322,108.937,4
spotify:track:5tFNeDfEm65LFpGTEZ1Ca0,"En Su Nota","En Su Nota","Omar Courtz",2020-05-22,167733,55,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:59:04Z,"","Mr.305 Records / Rimas Entertainment LLC.",0.821,0.58,4,-7.103,0,0.0742,0.382,0,0.145,0.961,82.997,4
spotify:track:2ickiFDq9U1MKG94SSg30n,"EL MUNDO SE VA A ACABAR","EL MUNDO SE VA A ACABAR","Omar Courtz;KARBeats",2025-12-18,213960,73,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:59:28Z,"","Rimas Entertainment LLC.",0.511,0.695,9,-6.79,1,0.122,0.232,0,0.168,0.312,154.854,4
spotify:track:4viiak5yFzoZL4NR9D1Ifb,"LOS DUEÑOS DE LA CALLE","LOS DUEÑOS DE LA CALLE","Omar Courtz;YOVNGCHIMI;Dei V",2022-05-12,224500,54,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:59:36Z,"trap latino,urbano latino","Mr.305 Records / Rimas Entertainment LLC.",0.539,0.608,0,-6.744,0,0.38,0.294,0,0.392,0.602,99.066,3
spotify:track:0Sr7ssScx54yxdM2ols7nW,"Q U E V A S H A C E R H O Y ?","PRIMERA MUSA","Omar Courtz;De La Rose",2024-09-20,224022,82,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:59:51Z,"","Mr.305 Records / Rimas Entertainment LLC.",0.56,0.681,6,-6.304,0,0.244,0.103,0,0.106,0.388,155.079,4
spotify:track:5NgHTaISM43cJtRRNKgNZX,"Baby Schai","Baby Schai","Omar Courtz",2022-06-17,190608,55,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:59:58Z,"","Mr.305 Records / Rimas Entertainment LLC.",0.627,0.646,8,-7.953,1,0.262,0.32,0,0.0865,0.487,141.921,4
spotify:track:5P9y0HcSxt5mzACExqe1cf,"I N T R O","PRIMERA MUSA","Omar Courtz;Kendo Kaponi",2024-09-20,164466,66,false,vnubrek2s9o1fzz7lu062vu04,2026-02-15T17:00:09Z,"reggaetón,trap latino","Mr.305 Records / Rimas Entertainment LLC.",0.587,0.682,11,-6.874,0,0.173,0.325,0,0.0858,0.269,129.768,4
