TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
40.449160998,-267.722,59.4437,-3.95108,-7.01409,0.591984,7.02601,-4.58562,6.18131,-3.14733,2.16089,0.266992,-5.62248,-2.00386,-0.291152,0.304432,0.691464,0.140256,2.98573,-2.91638,-1.93101,-2.05092
40.472380952,-266.806,58.6603,-5.68867,-7.12603,1.6257,3.49312,-5.6896,1.81898,-5.27929,0.91111,-1.21779,-5.15091,2.69834,1.29603,-1.4437,0.0230323,1.48323,2.92185,-0.91098,-0.646568,-1.38
40.495600907,-229.718,27.0672,7.72395,0.859365,-6.11524,4.19288,-1.84515,-2.77693,-5.16428,2.4144,-3.21323,-1.82093,-0.440539,4.51375,0.679832,1.08258,-1.25963,2.56692,-1.53967,-2.68485,2.03801
40.518820862,-232.057,34.6254,2.2964,-1.2548,-4.25891,5.07146,-1.96943,-0.612683,-5.18137,-1.4752,-2.78289,0.510523,0.5062,2.95674,-2.54036,-0.496841,-3.72176,0.439747,-1.15526,0.644165,-3.71561
40.542040816,-273.306,54.5329,1.77356,0.370968,-1.26192,7.40436,-2.27738,-1.14967,-5.65684,1.48181,-2.4509,-1.95406,0.777604,4.27672,-0.928636,-0.372017,-0.285589,1.51887,-3.51416,-2.29162,-2.93456
40.565260771,-268.197,56.477,-1.63452,-5.99223,1.78754,6.64493,-5.05335,2.41124,-5.06419,-0.455811,-5.48626,-2.38329,0.229772,3.03258,-1.86063,0.319795,-2.35488,3.13401,-2.59736,-1.67834,-3.60921
40.588480726,-279.847,59.0471,0.371412,-3.01027,2.01945,5.47893,-3.41554,3.13484,-5.32763,-1.05028,-3.01103,-2.88015,0.305499,1.07215,-0.115346,-0.733173,-0.463466,3.351,-1.14621,2.07716,-3.13196
40.611700680,-224.711,20.6458,8.8719,4.57596,-3.68339,5.80677,-10.3164,3.49078,-7.59773,-0.35226,4.67513,-9.49293,0.365517,4.51075,-1.34036,-0.267539,1.24592,0.124054,0.822355,-0.266247,-2.07141
40.634920635,-219.575,18.5556,5.65592,6.13101,-2.25864,10.1267,-14.5842,6.63297,-10.8631,0.168985,3.64425,-7.21169,1.58522,9.91939,-5.78673,2.85706,-0.465015,1.3325,-0.766194,-1.12951,-4.63211
40.658140590,-209.506,21.3472,6.6674,3.54366,-2.37311,8.67043,-17.9187,4.55907,-14.3057,-2.65773,3.82034,-4.74617,-0.759134,3.14779,-6.71645,5.62524,-0.0970125,1.27225,-3.03826,-0.523413,-2.57336
