TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
4.272471655,1.18252,0.192528,0.55882,0,1.04975,0.170865,0.210113,0.740688,0.135867,0.371891,0.00361255,1.20327
4.318911565,0.481849,0.22669,1.10584,0,0.0126867,0.793923,0.347026,0.946536,0.115581,0.681845,0.0126209,1.44141
4.365351474,0.104672,0.221036,1.34841,0.0107327,0.00870473,0.724054,0.322163,1.46468,0.141603,0.402781,0.0404293,1.02559
4.411791383,0,0.251867,1.46459,0.732386,0.0130416,0.492436,0.109126,1.61958,0.13379,0.201862,0,0.848832
4.458231293,0,0.21618,1.28534,0.695548,0.0350412,0.449945,0.0208439,1.2618,0.130588,0.141614,0.151196,0.85264
4.504671202,0,0.263777,0.710216,0.613899,0,0.575225,0.0365156,1.31749,0.107187,0.283477,0.353637,0.831578
4.551111111,0,0.358809,0.753924,0.427982,0,0.627111,0.0451391,1.51992,0.0748904,0.187983,0.386765,0.739891
4.597551020,0.0390625,0.420196,0.675996,0.273726,0,0.578077,0.0434968,1.60697,0.0598141,0.153998,0.267613,0.721387
4.643990930,0.0725498,0.440098,0.543941,0.204965,0,0.481128,0.0443231,1.44471,0.0531993,0.211461,0.198279,0.784565
4.690430839,0.362998,0.434044,0.475085,0.264983,0,0.590376,0.0485606,1.44006,0.0475439,0.271446,0.206691,0.727136
4.736870748,0.534522,0.374266,0.483512,0.419985,0,0.676731,0.054606,1.5203,0.0483494,0.294448,0.282599,0.662329
4.783310658,0.462967,0.27968,0.492419,0.483645,0,0.895823,0.0518963,1.45904,0.116372,0.240383,0.264344,0.715794
4.829750567,0.288056,0.215712,0.491722,0.467927,0,1.03056,0.0521804,1.33947,0.150179,0.240858,0.21496,0.803313
4.876190476,0.0906522,0.123341,0.562937,0.480592,0,1.01918,0.0526934,1.15056,0.0517762,0.306969,0.0989035,0.983988
4.922630385,0.118533,0.0857331,0.699752,0.434604,0.000502,0.689341,0.051534,1.01092,0.0341683,0.560206,0.0583333,1.09196
4.969070295,0.186295,0.0114111,0.93411,0.363019,0.00604859,0.42095,0.0477973,0.758274,0.0864225,0.871277,0.0359211,1.1321
5.015510204,0.230422,0,0.996052,0.283948,0.055442,0.251124,0.0416963,0.936108,0.347394,0.792574,0.0210345,1.06368
5.061950113,0.378346,0,0.910234,0.0984616,0.169946,0.164615,0.0323655,1.01463,0.475658,0.667492,0.0489339,1.0079
5.108390023,0.467012,0,0.861554,0.0413235,0.143722,0.109552,0.0266058,0.957597,0.483765,0.540512,0.0437785,1.08494
5.154829932,0.225064,0,0.895742,0.00520548,0.111022,0.219965,0.0232468,0.834106,0.284488,0.35711,0.0392939,1.06417
5.201269841,0.0319755,0,0.911687,0,0.0933731,0.452766,0.0246847,1.16462,0.141873,0.224627,0.0478102,1.21754
5.247709751,0.0301976,0,0.986638,0.0785257,0.133289,0.673124,0.0236364,1.04973,0.211715,0.196698,0.0409737,1.24806
5.294149660,0.0261524,0,1.10365,0.175284,0.134568,0.93299,0.0213444,0.811645,0.536718,0.300315,0.0271449,1.23382
5.340589569,0,0,1.04938,0.214171,0.106093,1.06652,0.032371,0.908824,0.782354,0.138244,0.0192995,1.1522
5.387029478,0,0,0.802273,0.233601,0.0490937,1.04434,0.0806803,1.19552,0.811987,0.0672857,0.0181937,1.01529
5.433469388,0,0.0330747,0.835956,0.259075,0.081915,0.846549,0.0299031,1.30601,0.6151,0,0.00868141,0.902709
5.479909297,0,0.0675916,0.779724,1.01936,0.13578,0.613944,0.0243666,1.38348,0.265608,0.226248,0,0.78535
5.526349206,0,0.303097,0.674987,0.869295,0.118202,0.518491,0.0231322,1.52048,0.0987324,0.477844,0,0.714125
5.572789116,0.0452349,0.376129,0.777747,0.672306,0.0662364,0.320502,0.0196892,1.5968,0.0855638,0.484749,0.0532859,0.664875
5.619229025,0.155001,0.408148,0.845159,0.523397,0.0125925,0.239374,0.0222793,1.4076,0.100546,0.508481,0.0896,0.56263
5.665668934,0.0761211,0.458904,1.011,0.392243,0.0102032,0.522405,0.0283966,1.1817,0.116121,0.407827,0.113037,0.336183
5.712108844,0,0.552041,1.0492,0.242499,0,0.719851,0.0357451,1.00536,0.118169,0.309179,0.146839,0.390336
5.758548753,0.0292736,0.522105,1.13508,0.117613,0,0.821619,0.0803639,0.985192,0.102821,0.139141,0.166416,0.614638
5.804988662,0.17538,0.371916,1.198,0.0792361,0,0.956574,0.212031,1.21419,0.0799437,0.136463,0.151106,0.723223
5.851428571,0.208097,0.21324,1.23453,0.0375848,0,1.05847,0.16531,1.24475,0.0761177,0.16051,0.140265,0.662205
5.897868481,0.17944,0.138366,1.38449,0.116625,0,0.918541,0.0319852,1.12896,0.0720564,0.16839,0.129693,0.569241
5.944308390,0.150238,0.07263,1.10506,0.074544,0,0.705022,0.0341921,0.971164,0.0752756,0.348421,0.0992421,0.847281
5.990748299,0.159558,0.0600899,0.625709,0.0552449,0,0.544784,0.0407022,1.0229,0.0725295,0.53498,0.0834865,1.02036
